gallery_pt,query_pt,gallery_csv,query_csv,g_x_col,g_y_col,q_x_col,q_y_col,success_radius_m,w_vis,window_size,formation_offset,top_k,epsilon_m,sigma,w_geo,w_angle,w_skip,r1,r5,r10,c1,c5,c10,improvement
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.5,3.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,54.4468546637744,64.64208242950107,67.24511930585683,18.65509761388286
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.0,3.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.32372505543237,64.52328159645234,66.96230598669624,18.40354767184035
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.5,2.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.32372505543237,63.8580931263858,66.74057649667405,18.40354767184035
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.0,2.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.32372505543237,63.63636363636363,66.74057649667405,18.40354767184035
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.0,2.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.32372505543237,64.52328159645234,66.96230598669624,18.40354767184035
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.5,2.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.32372505543237,64.7450110864745,66.96230598669624,18.40354767184035
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,150.0,1.5,1.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.32372505543237,64.07982261640798,66.96230598669624,18.40354767184035
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.0,2.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.32372505543237,63.8580931263858,66.96230598669624,18.40354767184035
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.5,1.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.32372505543237,64.30155210643017,67.1840354767184,18.40354767184035
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.0,3.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.1019955654102,63.19290465631929,66.51884700665188,18.18181818181818
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.0,3.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.1019955654102,63.19290465631929,66.51884700665188,18.18181818181818
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,150.0,1.5,1.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.1019955654102,63.41463414634146,66.74057649667405,18.18181818181818
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.0,3.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.1019955654102,64.30155210643017,66.51884700665188,18.18181818181818
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.5,3.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.1019955654102,63.41463414634146,66.51884700665188,18.18181818181818
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,150.0,1.0,2.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,53.88026607538803,63.19290465631929,66.51884700665188,17.96008869179601
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,150.0,1.0,2.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,53.88026607538803,63.19290465631929,66.51884700665188,17.96008869179601
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.0,3.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,53.88026607538803,64.30155210643017,66.51884700665188,17.96008869179601
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.5,1.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,53.88026607538803,64.7450110864745,67.1840354767184,17.96008869179601
